name,rating,price,url
Rafael Alcântara,81,2300,https://www.futbin.com/18/player/495/Rafinha
Joe Hart,82,2300,https://www.futbin.com/18/player/334/Hart
Caner Erkin,76,2300,https://www.futbin.com/18/player/1557/Erkin
Lucas Digne,79,2300,https://www.futbin.com/18/player/757/Digne
Luis Muriel,80,2300,https://www.futbin.com/18/player/617/Muriel
Christian Pulisic,78,2300,https://www.futbin.com/18/player/1043/Pulisic
Malcom Filipe Silva de Oliveira,79,2300,https://www.futbin.com/18/player/820/Malcom
Wissam Ben Yedder,81,2300,https://www.futbin.com/18/player/491/Ben%20Yedder
Mateo Musacchio,83,2300,https://www.futbin.com/18/player/290/Musacchio
Willian José da Silva,82,2300,https://www.futbin.com/18/player/387/Willian%20Jos%C3%A9
Mario Gómez,82,2200,https://www.futbin.com/18/player/333/G%C3%B3mez
Pablo Zabaleta,79,2200,https://www.futbin.com/18/player/666/Zabaleta
Aritz Aduriz Zubeldia,84,2200,https://www.futbin.com/18/player/221/Aduriz
André Schürrle,80,2200,https://www.futbin.com/18/player/606/Sch%C3%BCrrle
Benedikt Höwedes,83,2200,https://www.futbin.com/18/player/283/H%C3%B6wedes
Adil Rami,81,2200,https://www.futbin.com/18/player/455/Rami
Theo Walcott,80,2100,https://www.futbin.com/18/player/548/Walcott
Marko Arnautović,82,2100,https://www.futbin.com/18/player/365/Arnautovi%C4%87
Morgan Schneiderlin,83,2100,https://www.futbin.com/18/player/279/Schneiderlin
Wojciech Szczęsny,82,2100,https://www.futbin.com/18/player/369/Szcz%C4%99sny
Cédric Ricardo Alves Soares,79,2100,https://www.futbin.com/18/player/764/C%C3%A9dric
Juan Francisco Torres Belén,83,2100,https://www.futbin.com/18/player/269/Juanfran
Ciro Immobile,82,2000,https://www.futbin.com/18/player/381/Immobile
Nicolás Gaitán,83,2000,https://www.futbin.com/18/player/286/Gait%C3%A1n
Luís Carlos Almeida da Cunha,83,2000,https://www.futbin.com/18/player/264/Nani
Lars Stindl,82,2000,https://www.futbin.com/18/player/372/Stindl
Marc Bartra Aregall,81,2000,https://www.futbin.com/18/player/486/Bartra
José Luís Gayà Peña,79,2000,https://www.futbin.com/18/player/803/Gay%C3%A0
Leighton Baines,82,2000,https://www.futbin.com/18/player/340/Baines
David Abraham,79,2000,https://www.futbin.com/18/player/680/Abraham
Lucas Biglia,83,2000,https://www.futbin.com/18/player/270/Biglia
Danny Welbeck,80,2000,https://www.futbin.com/18/player/587/Welbeck
Rafael Pereira da Silva,79,2000,https://www.futbin.com/18/player/727/Rafael
Roman Bürki,84,2000,https://www.futbin.com/18/player/237/B%C3%BCrki
Jonas Gonçalves Oliveira,83,2000,https://www.futbin.com/18/player/278/Jonas
Benoît Costil,82,2000,https://www.futbin.com/18/player/336/Costil
Samir Nasri,82,2000,https://www.futbin.com/18/player/343/Nasri
Wendell Nascimento Borges,77,1900,https://www.futbin.com/18/player/1282/Wendell
Piotr Zieliński,80,1900,https://www.futbin.com/18/player/643/Zieli%C5%84ski
Stefan de Vrij,83,1900,https://www.futbin.com/18/player/303/de%20Vrij
Nabil Fekir,82,1900,https://www.futbin.com/18/player/423/Fekir
